Make,Variant,"Length 
(ft)",Geographic Region,Country/Region/State,Listing Price (USD),Year
Nautitech,47,47,Europe,Greece,"$497,637",2006
Lagoon,50 Owners Version,48,Caribbean,Martinique,"$450,000",2006
Lagoon,50,48,Caribbean,British Virgin Islands,"$449,000",2006
Lagoon,500,51,Europe,Spain,"$515,334",2006
Lagoon,500,51,Europe,Greece,"$515,334",2006
Lagoon,500,51,Europe,Greece,"$461,585",2006
Lagoon,500,51,Europe,Greece,"$461,225",2006
Lagoon,500,51,Europe,Greece,"$423,929",2006
Lagoon,500,51,Europe,Greece,"$423,599",2006
Lagoon,500,51,Europe,Greece,"$418,330",2006
Lagoon,380 S2,38,USA,Maryland,"$226,900",2007
Broadblue,385,38.7,Europe,Greece,"$202,496",2007
Broadblue,385,38.7,Europe,United Kingdom,"$200,493",2007
Lagoon,420,41,Europe,Germany,"$314,925",2007
Fountaine Pajot,Orana 44,43,Caribbean,Puerto Rico,"$315,000",2007
Fountaine Pajot,Orana 44,43,USA,Maryland,"$320,000",2007
Knysna,440,44,Caribbean,Trinidad and Tobago,"$220,000",2007
Lagoon,440,44.6,Caribbean,Martinique,"$376,556",2007
Lagoon,440,44.6,Caribbean,Martinique,"$376,262",2007
Lagoon,440,44.6,Caribbean,Netherlands Antilles,"$310,000",2007
Lagoon,440,44.6,Europe,Spain,"$394,877",2007
Lagoon,440,44.6,Europe,Spain,"$394,469",2007
Lagoon,440,44.6,Europe,Spain,"$339,729",2007
Lagoon,440,44.6,Europe,Spain,"$309,506",2007
Lagoon,440,44.6,Europe,Greece,"$297,676",2007
Lagoon,440,44.6,Europe,Greece,"$297,369",2007
Lagoon,440,44.6,USA,Florida,"$349,000",2007
Lagoon,440,44.6,USA,Maryland,"$310,000",2007
Lagoon,440,44.6,USA,Florida,"$294,000",2007
Nautitech,47,47,Europe,Greece,"$394,469",2007
Fountaine Pajot,Salina 48,47,Europe,Turkey,"$345,919",2007
Privilege,495,47,USA,Massachusetts,"$429,900",2007
Lagoon,420,49,USA,Florida,"$435,000",2007
Catana,50,50,Europe,France,"$703,279",2007
Lagoon,500,51,Europe,Spain,"$594,150",2007
Lagoon,500,51,Europe,Italy,"$497,146",2007
Lagoon,570,56,Europe,France,"$705,237",2007
Seawind,1160,38,Caribbean,Mexico,"$350,000",2008
Lagoon,380 S2,38,Europe,Italy,"$236,926",2008
Lagoon,380,38,Europe,Italy,"$236,447",2008
Lagoon,380,38,USA,Florida,"$229,000",2008
Broadblue,385,38.7,Europe,Greece,"$202,496",2008
Broadblue,385,38.7,Europe,Greece,"$200,071",2008
Broadblue,385,38.7,Europe,Greece,"$193,332",2008
Nautitech,40.2,39,Caribbean,Martinique,"$216,047",2008
Fountaine Pajot,Lavezzi 40,39,Caribbean,Cayman Islands,"$186,733",2008
Leopard,40,39,Europe,France,"$273,094",2008
Alliaura,Feeling 39 DI,39,Europe,France,"$218,645",2008
Fountaine Pajot,Lavezzi 40,39,Europe,France,"$194,562",2008
Fountaine Pajot,Lavezzi 40,39,Europe,France,"$194,401",2008
Fountaine Pajot,Lavezzi 40,39,Europe,Greece,"$188,278",2008
Fountaine Pajot,Lavezzi 40,39,Europe,Greece,"$187,945",2008
Nautitech,40,39.5,Europe,Croatia,"$191,772",2008
Lagoon,420,41,Caribbean,Guatemala,"$380,000",2008
Lagoon,420,41,Caribbean,Martinique,"$338,028",2008
Lagoon,420,41,Caribbean,Martinique,"$337,640",2008
Lagoon,420,41,Caribbean,Cayman Islands,"$310,061",2008
Lagoon,420,41,Caribbean,British Virgin Islands,"$309,739",2008
Lagoon,420,41,Caribbean,Cayman Islands,"$309,705",2008
Lagoon,420,41,Caribbean,British Virgin Islands,"$309,079",2008
Lagoon,420,41,Caribbean,Cayman Islands,"$297,902",2008
Lagoon,420,41,Caribbean,Cayman Islands,"$297,560",2008
Lagoon,420,41,Europe,Greece,"$358,335",2008
Lagoon,420,41,Europe,Greece,"$358,056",2008
Lagoon,420,41,Europe,France,"$338,900",2008
Lagoon,420,41,Europe,France,"$338,636",2008
Lagoon,420,41,Europe,France,"$338,028",2008
Lagoon,420,41,Europe,France,"$337,640",2008
Lagoon,420,41,Europe,Spain,"$327,968",2008
Lagoon,420,41,Europe,Spain,"$327,712",2008
Lagoon,420,41,Europe,Greece,"$303,982",2008
Lagoon,420,41,Europe,Greece,"$303,633",2008
Lagoon,420,41,USA,Florida,"$396,000",2008
Lagoon,420,41,USA,Maryland,"$389,900",2008
Lagoon,420,41,USA,Florida,"$375,000",2008
Lagoon,440,42,Europe,Italy,"$303,982",2008
Lagoon,440,42,Europe,Italy,"$297,902",2008
Manta,42 MK IV,42,USA,Florida,"$270,000",2008
Manta,42 MK IV,42,USA,Florida,"$270,000",2008
Fountaine Pajot,Orana 44,43,Caribbean,Saint-Martin,"$390,827",2008
Fountaine Pajot,Orana 44,43,Caribbean,Guatemala,"$339,000",2008
Fountaine Pajot,Orana 44,43,Caribbean,Martinique,"$309,860",2008
Fountaine Pajot,Orana 44,43,Caribbean,Martinique,"$309,506",2008
Fountaine Pajot,Orana 44,43,Europe,France,"$338,636",2008
Fountaine Pajot,Orana 44,43,Europe,Greece,"$328,300",2008
Fountaine Pajot,Orana 44,43,Europe,Greece,"$328,300",2008
Fountaine Pajot,Orana 44,43,Europe,Greece,"$327,968",2008
Fountaine Pajot,Orana 44,43,Europe,Turkey,"$285,231",2008
Fountaine Pajot,Orana 44,43,Europe,Turkey,"$261,424",2008
Nautitech,44,44,Europe,Greece,"$312,493",2008
Lagoon,440,44.6,Caribbean,Guadeloupe,"$400,537",2008
Lagoon,440,44.6,Caribbean,Guadeloupe,"$363,194",2008
Lagoon,440,44.6,Caribbean,Guadeloupe,"$362,911",2008
Lagoon,440,44.6,Caribbean,Dominican Republic,"$325,000",2008
Lagoon,440,44.6,Caribbean,Mexico,"$303,674",2008
Lagoon,440,44.6,Caribbean,Mexico,"$303,437",2008
Lagoon,440,44.6,Europe,Spain,"$431,327",2008
Lagoon,440,44.6,Europe,Spain,"$430,881",2008
Lagoon,440,44.6,Europe,Italy,"$388,400",2008
Lagoon,440,44.6,Europe,Turkey,"$388,400",2008
Lagoon,440,44.6,Europe,Italy,"$388,400",2008
Lagoon,440,44.6,Europe,France,"$376,652",2008
Lagoon,440,44.6,Europe,France,"$376,262",2008
Lagoon,440,44.6,Europe,Turkey,"$346,276",2008
Lagoon,440,44.6,Europe,Turkey,"$345,919",2008
Lagoon,440,44.6,Europe,Turkey,"$334,126",2008
Lagoon,440,44.6,Europe,Turkey,"$333,781",2008
Lagoon,440,44.6,Europe,Croatia,"$313,471",2008
Lagoon,440,44.6,Europe,Croatia,"$313,147",2008
Lagoon,440,44.6,USA,Maryland,"$359,000",2008
Leopard,46,46,Caribbean,Martinique,"$299,000",2008
Leopard,46,46,USA,Florida,"$449,000",2008
Leopard,46,46,USA,Florida,"$385,000",2008
Privilege,495,47,Caribbean,Martinique,"$449,893",2008
Privilege,495,47,Caribbean,Martinique,"$449,602",2008
Privilege,495,47,Caribbean,Martinique,"$386,665",2008
Privilege,495,47,Caribbean,Martinique,"$386,414",2008
Leopard,47,47,Caribbean,British Virgin Islands,"$115,000",2008
Fountaine Pajot,Salina 48,47,Europe,Greece,"$503,706",2008
Fountaine Pajot,Salina 48,47,Europe,Italy,"$418,744",2008
Fountaine Pajot,Salina 48,47,Europe,Greece,"$376,556",2008
Fountaine Pajot,Salina 48,47,Europe,Greece,"$376,262",2008
Fountaine Pajot,Salina 48,47,Europe,Greece,"$346,188",2008
Fountaine Pajot,Salina 48,47,Europe,Greece,"$345,919",2008
Nautitech,47,47,Europe,Greece,"$339,850",2008
Fountaine Pajot,Salina 48,47,Europe,Greece,"$333,781",2008
Nautitech,47,47,Europe,Greece,"$318,002",2008
Nautitech,47,47,Europe,Greece,"$309,506",2008
Voyage Yachts,500,50,Caribbean,British Virgin Islands,"$479,000",2008
Voyage Yachts,500,50,Caribbean,British Virgin Islands,"$465,000",2008
Catana,50,50,Europe,France,"$709,342",2008
Voyage Yachts,500,50,USA,Florida,"$365,000",2008
Lagoon,500,51,Caribbean,Martinique,"$553,247",2008
Lagoon,500,51,Europe,Italy,"$667,562",2008
Lagoon,500,51,Europe,Greece,"$606,875",2008
Lagoon,500,51,Europe,Portugal,"$546,613",2008
Lagoon,500,51,Europe,Portugal,"$545,648",2008
Lagoon,500,51,Europe,Lagos,"$521,397",2008
Lagoon,500,51,Europe,Italy,"$412,997",2008
Lagoon,500,51,Europe,Italy,"$412,675",2008
Lagoon,500,51,Europe,Italy,"$411,782",2008
Lagoon,500,51,Europe,Italy,"$411,461",2008
Catana,50,53,Europe,Spain,"$632,282",2008
Fountaine Pajot,Lavezzi 40,39,Caribbean,Guadeloupe,"$205,124",2009
Nautitech,40.2,39,Caribbean,Martinique,"$194,422",2009
Nautitech,40.2,39,Caribbean,Martinique,"$194,200",2009
Fountaine Pajot,Lipari 41,40,Caribbean,Belize,"$194,008",2009
Lagoon,420,41,USA,Florida,"$309,000",2009
Lagoon,420,41,USA,Florida,"$280,000",2009
Lagoon,420,41,USA,Florida,"$280,000",2009
Broadblue,415,42,Europe,Spain,"$364,170",2009
Broadblue,415,42,Europe,Spain,"$363,802",2009
Fountaine Pajot,Orana 44,43,Caribbean,Saint-Martin,"$329,000",2009
Fountaine Pajot,Orana 44,43,Caribbean,Antigua and Barbuda,"$327,712",2009
Fountaine Pajot,Orana 44,43,USA,Florida,"$300,000",2009
Lagoon,440,44.6,Europe,Croatia,"$435,736",2009
Lagoon,440,44.6,Europe,Croatia,"$347,755",2009
Lagoon,440,44.6,USA,Maryland,"$525,000",2009
Leopard,46,46,Europe,Italy,"$339,514",2009
Nautitech,47,47,Caribbean,Antigua and Barbuda,"$364,000",2009
Fountaine Pajot,Salina 48,47,Caribbean,Martinique,"$314,925",2009
Fountaine Pajot,Salina 48,47,Europe,Croatia,"$315,454",2009
Lagoon,500,51,Europe,Greece,"$546,187",2009
Lagoon,500,51,Europe,Greece,"$521,912",2009
Lagoon,500,51,Europe,Greece,"$503,208",2009
Lagoon,500,51,USA,Florida,"$425,000",2009
Leopard,38,37.5,Caribbean,British Virgin Islands,"$185,000",2010
Seawind,1160,38,USA,Florida,"$329,950",2010
Fountaine Pajot,Lipari 41,39,Caribbean,Martinique,"$297,709",2010
Fountaine Pajot,Lipari 41,39,Caribbean,Martinique,"$297,369",2010
Lagoon,400 Owners Version,39,Caribbean,Belize,"$285,000",2010
Lagoon,400,39,Caribbean,Netherlands Antilles,"$275,000",2010
Lagoon,400,39,Caribbean,British Virgin Islands,"$195,000",2010
Lagoon,400,39,Europe,Turkey,"$279,380",2010
Lagoon,400,39,Europe,Turkey,"$279,162",2010
Fountaine Pajot,Lipari 41,39,Europe,Portugal,"$278,887",2010
Lagoon,400,39,Europe,Greece,"$267,233",2010
Lagoon,400,39,Europe,Greece,"$267,025",2010
Fountaine Pajot,Lipari 41,39,Europe,France,"$218,882",2010
Lagoon,400,39,Europe,Croatia,"$217,486",2010
Lagoon,400,39,Europe,Croatia,"$217,261",2010
Fountaine Pajot,Lavezzi 40,39,Europe,France,"$205,506",2010
Fountaine Pajot,Lavezzi 40,39,Europe,France,"$205,284",2010
Lagoon,421,42,Europe,Turkey,"$437,734",2010
Lagoon,421,42,Europe,Italy,"$327,968",2010
Lagoon,421,42,Europe,Italy,"$327,712",2010
Lagoon,421,42,Europe,Greece,"$285,231",2010
Fountaine Pajot,Orana 44,43,USA,Florida,"$390,000",2010
Nautitech,441,44,Caribbean,Martinique,"$346,188",2010
Nautitech,441,44,Caribbean,Martinique,"$345,919",2010
Nautitech,441,44,Caribbean,Martinique,"$291,527",2010
Nautitech,441,44,Caribbean,Martinique,"$291,300",2010
Nautitech,441,44,Caribbean,Martinique,"$282,000",2010
Nautitech,441,44,Caribbean,Guadeloupe,"$269,724",2010
Nautitech,442 Owners Version,44,Europe,Croatia,"$437,734",2010
Nautitech,442 Owners Version,44,Europe,Croatia,"$437,231",2010
Antares,44i,44,USA,Florida,"$525,000",2010
Antares,44i,44,USA,Florida,"$495,000",2010
Lagoon,440,44.6,Caribbean,Guadeloupe,"$380,000",2010
Lagoon,440,44.6,Caribbean,Saint-Martin,"$345,000",2010
Lagoon,440,44.6,Caribbean,Sint Maarten (Dutch part),"$345,000",2010
Lagoon,440,44.6,Europe,Spain,"$424,812",2010
Lagoon,440,45.8,Europe,France,"$479,431",2010
Leopard,46,46,Caribbean,Saint-Martin,"$415,000",2010
Leopard,46,46,Caribbean,Grenada,"$335,000",2010
Catana,47,47,Caribbean,Martinique,"$546,813",2010
Catana,47,47,Caribbean,Martinique,"$545,648",2010
Chris White,Atlantic 48,48.7,USA,Washington,"$565,000",2010
Outremer,49,49,Europe,France,"$763,449",2010
Voyage Yachts,500 Owner's Version,50,USA,Florida,"$595,000",2010
Lagoon,500,51,Europe,Croatia,"$721,467",2010
Lagoon,500,51,Europe,Turkey,"$589,128",2010
Lagoon,500,51,Europe,Turkey,"$588,087",2010
Lagoon,500,51,Europe,Croatia,"$576,531",2010
Lagoon,500,51,Europe,Croatia,"$575,961",2010
Leopard,39,37.5,USA,Florida,"$339,000",2011
Leopard,39,37.5,USA,Florida,"$339,000",2011
Lagoon,380,38,Europe,Greece,"$236,447",2011
Broadblue,385,38.7,Caribbean,Grenada,"$210,000",2011
Fountaine Pajot,Lipari 41,39,Caribbean,Martinique,"$218,725",2011
Fountaine Pajot,Lipari 41,39,Europe,Italy,"$346,563",2011
Fountaine Pajot,Lipari 41,39,Europe,Malta,"$302,787",2011
Fountaine Pajot,Lipari 41,39,Europe,Turkey,"$267,522",2011
Fountaine Pajot,Lipari 41,39,Europe,Turkey,"$266,761",2011
Fountaine Pajot,Lipari 41,39,Europe,Turkey,"$266,761",2011
Lagoon,400,39,Europe,Croatia,"$264,804",2011
Lagoon,400,39,Europe,Croatia,"$264,597",2011
Lagoon,400,39,Europe,Croatia,"$217,486",2011
Lagoon,400,39,Europe,Croatia,"$217,261",2011
Lagoon,400,39,Europe,Croatia,"$206,095",2011
Fountaine Pajot,Lipari 41,39,Europe,Croatia,"$194,562",2011
Fountaine Pajot,Lipari 41,39,Europe,Croatia,"$169,026",2011
Lagoon,421,42,Europe,Portugal,"$333,781",2011
Lagoon,421,42,Europe,Italy,"$297,902",2011
Leopard,44,42.5,Caribbean,U.S. Virgin Islands,"$339,000",2011
Leopard,44,42.5,Caribbean,Saint Kitts and Nevis,"$339,000",2011
Leopard,44,42.5,Caribbean,U.S. Virgin Islands,"$339,000",2011
Leopard,44,42.5,Caribbean,Saint Kitts and Nevis,"$339,000",2011
Lagoon,42 Owners Version,42.5,Europe,Portugal,"$325,000",2011
Lagoon,42 Owners Version,42.5,Europe,Portugal,"$325,000",2011
Leopard,44,42.5,USA,Florida,"$459,000",2011
Leopard,44,42.5,USA,Florida,"$459,000",2011
Fountaine Pajot,Orana 44,43,Europe,Turkey,"$339,850",2011
Nautitech,441,44,Caribbean,Martinique,"$279,162",2011
Nautitech,441,44,Caribbean,Guadeloupe,"$255,086",2011
Nautitech,441,44,Caribbean,Guadeloupe,"$254,887",2011
Lagoon,450,45.8,Caribbean,U.S. Virgin Islands,"$475,000",2011
Lagoon,450,45.8,Europe,France,"$533,522",2011
Lagoon,450,45.8,Europe,Greece,"$516,246",2011
Lagoon,450,45.8,Europe,Greece,"$515,844",2011
Lagoon,450,45.8,Europe,France,"$510,725",2011
Lagoon,450,45.8,Europe,France,"$510,302",2011
Lagoon,450,45.8,Europe,France,"$510,172",2011
Lagoon,450,45.8,Europe,Malta,"$479,431",2011
Lagoon,450,45.8,Europe,Greece,"$472,895",2011
Lagoon,450F,45.8,Europe,Turkey,"$462,084",2011
Lagoon,450,45.8,Europe,Greece,"$448,644",2011
Lagoon,450,45.8,Europe,Greece,"$407,335",2011
Lagoon,450,45.8,Europe,Italy,"$389,097",2011
Lagoon,450F,45.8,USA,Florida,"$499,000",2011
Lagoon,450F,45.8,USA,Florida,"$499,000",2011
Leopard,46,46,Caribbean,British Virgin Islands,"$126,000",2011
Leopard,46,46,USA,Florida,"$480,000",2011
Fountaine Pajot,Salina 48,47,Caribbean,Panama,"$450,000",2011
Outremer,49,49,Caribbean,Grenada,"$601,884",2011
Outremer,49,49,Europe,France,"$812,664",2011
Outremer,49,49,Europe,France,"$811,999",2011
Lagoon,500,51,Caribbean,U.S. Virgin Islands,"$499,000",2011
Lagoon,500,51,Caribbean,U.S. Virgin Islands,"$443,813",2011
Lagoon,380,38,USA,New York,"$292,000",2012
Lagoon,39,38.4,Europe,Italy,"$310,061",2012
Fountaine Pajot,Lipari 41,39,Caribbean,Guatemala,"$315,000",2012
Lagoon,400,39,Caribbean,Martinique,"$241,298",2012
Lagoon,400,39,Caribbean,Martinique,"$237,000",2012
Lagoon,400,39,Caribbean,Martinique,"$234,000",2012
Lagoon,400,39,Europe,Portugal,"$315,575",2012
Lagoon,400,39,Europe,Greece,"$291,300",2012
Lagoon,400,39,Europe,Greece,"$279,162",2012
Lagoon,400,39,Europe,Croatia,"$241,786",2012
Lagoon,400,39,Europe,Croatia,"$241,536",2012
Lagoon,400,39,Europe,Croatia,"$241,536",2012
Lagoon,400,39,Europe,Sweden,"$236,681",2012
Alliaura,Feeling 39 DI,39,Europe,Netherlands,"$229,578",2012
Lagoon,400,39,Europe,Croatia,"$218,639",2012
Lagoon,421,41,Europe,Italy,"$369,828",2012
Leopard,44,42.5,Caribbean,British Virgin Islands,"$350,000",2012
Leopard,44,42.5,Caribbean,British Virgin Islands,"$350,000",2012
Leopard,44,42.5,Caribbean,British Virgin Islands,"$315,000",2012
Leopard,44,42.5,Europe,Greece,"$273,094",2012
Fountaine Pajot,Helia 44,43.6,Europe,France,"$520,699",2012
Fountaine Pajot,Helia 44,43.6,Europe,Greece,"$449,893",2012
Fountaine Pajot,Helia 44,43.6,Europe,Greece,"$449,438",2012
Antares,44i,44,USA,Florida,"$749,000",2012
Lagoon,450,45.8,Caribbean,Martinique,"$442,581",2012
Lagoon,450F,45.8,Caribbean,Martinique,"$435,736",2012
Lagoon,450,45.8,Caribbean,Martinique,"$435,020",2012
Lagoon,450,45.8,Caribbean,Martinique,"$434,093",2012
Lagoon,450,45.8,Caribbean,Belize,"$400,142",2012
Lagoon,450,45.8,Europe,Italy,"$486,371",2012
Lagoon,450,45.8,Europe,Greece,"$486,249",2012
Lagoon,450,45.8,Europe,Italy,"$474,211",2012
Lagoon,450,45.8,Europe,Italy,"$473,362",2012
Lagoon,450,45.8,Europe,France,"$472,895",2012
Lagoon,450,45.8,Europe,Italy,"$449,438",2012
Lagoon,450,45.8,Europe,Italy,"$449,087",2012
Lagoon,450,45.8,Europe,Italy,"$448,644",2012
Lagoon,450,45.8,Europe,France,"$411,782",2012
Lagoon,450,45.8,Europe,France,"$411,461",2012
Lagoon,450,45.8,Europe,Greece,"$400,850",2012
Lagoon,450,45.8,Europe,Greece,"$400,537",2012
Lagoon,450,45.8,Europe,Croatia,"$398,420",2012
Lagoon,450,45.8,Europe,Croatia,"$398,420",2012
Lagoon,450,45.8,Europe,Croatia,"$398,110",2012
Lagoon,450,45.8,Europe,Croatia,"$397,717",2012
Lagoon,450,45.8,Europe,Greece,"$388,802",2012
Lagoon,450,45.8,Europe,Greece,"$388,016",2012
Lagoon,450,45.8,Europe,Italy,"$376,937",2012
Lagoon,450,45.8,Europe,Italy,"$376,937",2012
Lagoon,450,45.8,Europe,Italy,"$376,556",2012
Lagoon,450,45.8,Europe,Croatia,"$364,778",2012
Lagoon,450,45.8,Europe,Croatia,"$364,501",2012
Lagoon,450,45.8,Europe,Croatia,"$363,587",2012
Lagoon,450,45.8,Europe,Croatia,"$362,911",2012
Lagoon,450,45.8,Europe,Croatia,"$339,267",2012
Lagoon,450,45.8,Europe,Croatia,"$338,302",2012
Lagoon,450,45.8,USA,Florida,"$459,950",2012
Fountaine Pajot,Salina 48,47,Caribbean,Panama,"$249,000",2012
Fountaine Pajot,Salina 48,47,Europe,France,"$358,056",2012
Lagoon,500,51,Caribbean,Antigua and Barbuda,"$499,000",2012
Lagoon,500,51,Caribbean,Puerto Rico,"$499,000",2012
Lagoon,500,51,Caribbean,Netherlands Antilles,"$465,000",2012
Voyage Yachts,Voyage 520 DC,52,Caribbean,Barbados,"$675,000",2012
Nautitech,542,53.5,Europe,Spain,"$790,352",2012
Leopard,39,37.5,Europe,Turkey,"$364,424",2013
Leopard,39,37.5,Europe,Turkey,"$364,125",2013
Lagoon,39,38.4,Europe,Cyprus,"$303,982",2013
Lagoon,39,38.4,Europe,Cyprus,"$303,437",2013
Lagoon,39,38.4,Europe,Italy,"$297,369",2013
Lagoon,400 S2,39,Caribbean,Martinique,"$285,558",2013
Lagoon,400,39,Caribbean,Guadeloupe,"$278,887",2013
Lagoon,400,39,Caribbean,British Virgin Islands,"$240,000",2013
Lagoon,400,39,Europe,Italy,"$388,400",2013
Lagoon,400,39,Europe,Italy,"$388,400",2013
Fountaine Pajot,Lipari 41,39,Europe,Croatia,"$342,763",2013
Lagoon,400 S2,39,Europe,Croatia,"$340,115",2013
Lagoon,400,39,Europe,Croatia,"$339,850",2013
Fountaine Pajot,Lipari 41,39,Europe,France,"$328,323",2013
Lagoon,400,39,Europe,Greece,"$321,895",2013
Lagoon,400,39,Europe,Greece,"$321,644",2013
Lagoon,400 S2,39,Europe,Croatia,"$267,197",2013
Lagoon,400,39,Europe,Croatia,"$267,025",2013
Lagoon,400,39,Europe,Croatia,"$267,025",2013
Fountaine Pajot,Lipari 41,39,Europe,Croatia,"$265,811",2013
Lagoon,400,39,Europe,Croatia,"$242,507",2013
Dolphin Ocema,Ocema 42,41,Europe,Portugal,"$273,584",2013
Lagoon,421,42,Europe,Greece,"$423,599",2013
Lagoon,421,42,Europe,Turkey,"$380,579",2013
Dolphin Ocema,Ocema 42,42,Europe,Portugal,"$229,900",2013
Leopard,44,42.5,Europe,Greece,"$302,766",2013
Leopard,44,42.5,Europe,Greece,"$290,606",2013
Fountaine Pajot,Helia 44,43.6,Caribbean,Martinique,"$362,911",2013
Fountaine Pajot,Helia 44,43.6,Europe,Italy,"$534,050",2013
Fountaine Pajot,Helia 44,43.6,Europe,Greece,"$479,824",2013
Fountaine Pajot,Helia 44,43.6,Europe,Greece,"$443,382",2013
Fountaine Pajot,Helia 44,43.6,Europe,Greece,"$443,019",2013
Lagoon,450,44.6,Europe,Greece,"$424,206",2013
Lagoon,450,45.8,Caribbean,Panama,"$540,000",2013
Lagoon,450,45.8,Caribbean,British Virgin Islands,"$450,000",2013
Lagoon,450F,45.8,Caribbean,British Virgin Islands,"$449,000",2013
Lagoon,450F,45.8,Caribbean,Martinique,"$435,306",2013
Lagoon,450,45.8,Caribbean,Bahamas,"$369,000",2013
Lagoon,450,45.8,Caribbean,Martinique,"$358,056",2013
